course_id,title,description,url
info_343,Client-side Web Development,"An undergraduate course in client side web development, covering the skills and techniques necessary for creating effective, dynamic, and responsive web applications that meet user needs.  Technical skills include HTML, CSS, JavaScript, jQuery, D3.js, Leaflet.js, Angular.js.",http://faculty.washington.edu/mikefree/info343/#/
global_health,Interactive Data Visualization for Global Health,Graduate level course taught in the Global Health department at the University of Wasington.  Content focused on the necessary skills to both design and build interactive visualization on the web using global health data,http://mkfreeman.github.io/gh590/
decision_making,Decision Making Through Data Visualization,"As part of the University of Washington's certificate in data visualization, this course focused on the challenge of translating data into actionable information.  With a focus on user-centered design processes, this course challenged students to tailor visualizations to their intended audience.",http://www.pce.uw.edu/courses/decision-making-data-visualization.html
workshops,Workshops,"I've led a number of workshops on data communication, and am available for teaching both technical and non-technical courses.  If you're interested in learning more, get in touch.",
